Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_07,Turno_B,2,6,4,6,0,6,5,0,4,359457
Categoria_68,Turno_B,2,6,2,64,52,12,11,0,8,675987
Categoria_61,Turno_B,2,6,3,73,20,53,52,0,47,280936
Categoria_40,Turno_B,2,7,2,14,14,0,0,0,0,249931
Categoria_26,Turno_B,2,7,4,123,84,39,31,0,27,249629
Categoria_44,Turno_A,1,2,3,62,17,45,44,0,42,215041
Categoria_08,Turno_B,1,2,3,26,0,26,26,2,27,708361
Categoria_49,Turno_A,2,6,2,65,20,45,43,6,41,741912
Categoria_49,Turno_A,1,5,3,52,9,43,41,4,39,741912
Categoria_26,Turno_A,1,4,3,186,8,178,152,8,138,249629
Categoria_26,Turno_B,2,7,1,142,26,116,108,0,94,249629
Categoria_49,Turno_A,1,2,4,81,16,65,63,12,68,741912
Categoria_12,Turno_A,2,7,2,106,45,61,51,4,52,427113
Categoria_41,Turno_B,1,3,1,74,0,74,72,2,60,78148
Categoria_09,Turno_A,2,6,5,120,44,76,57,18,64,787089
Categoria_25,Turno_B,2,8,3,31,0,31,30,2,23,658531
Categoria_35,Turno_A,1,2,6,156,18,138,133,3,111,261995
Categoria_49,Turno_B,2,6,1,31,0,31,31,2,27,741912
Categoria_58,Turno_A,1,4,5,20,0,20,19,5,21,916606
Categoria_68,Turno_B,2,7,4,58,19,39,39,6,39,675987
Categoria_53,Turno_B,1,4,4,21,11,10,9,1,9,688843
Categoria_42,Turno_A,2,8,1,12,0,12,12,1,8,920790
Categoria_52,Turno_A,2,6,2,154,56,98,74,1,63,582843
Categoria_14,Turno_A,1,2,4,25,0,25,24,1,22,266508
Categoria_42,Turno_B,1,3,4,26,0,26,25,3,28,920790
Categoria_09,Turno_A,1,2,3,120,0,120,56,15,62,787089
Categoria_42,Turno_A,1,1,5,24,18,6,6,2,6,920790
Categoria_48,Turno_B,2,8,4,49,0,49,48,3,42,813591
Categoria_45,Turno_B,1,2,4,18,0,18,13,0,9,906942
Categoria_03,Turno_B,1,2,1,6,0,6,3,0,2,116530
Categoria_24,Turno_A,2,8,4,33,12,21,6,0,6,614365
Categoria_59,Turno_A,2,6,4,22,11,11,6,0,4,832352
Categoria_23,Turno_A,1,4,1,32,0,32,4,0,4,116530
Categoria_23,Turno_A,1,3,3,8,0,8,0,0,0,116530
Categoria_40,Turno_A,2,6,5,18,18,0,0,0,0,249931
Categoria_24,Turno_A,1,2,3,12,0,12,9,0,8,614365
Categoria_45,Turno_B,1,4,2,26,25,1,1,0,1,906942
Categoria_41,Turno_B,1,4,3,49,12,37,37,1,33,78148
Categoria_35,Turno_A,1,4,1,221,82,139,137,1,121,261995
Categoria_59,Turno_B,2,8,1,26,6,20,11,0,10,832352
Categoria_59,Turno_A,2,7,5,28,14,14,6,0,5,832352
Categoria_59,Turno_B,2,6,5,26,6,20,12,0,10,832352
Categoria_59,Turno_A,1,5,2,23,0,23,14,1,12,832352
Categoria_35,Turno_B,2,7,3,168,48,120,97,0,83,261995
Categoria_49,Turno_A,2,8,3,44,8,36,36,0,33,741912
Categoria_36,Turno_A,1,3,1,31,0,31,29,3,26,470337
Categoria_09,Turno_B,1,3,1,107,0,107,75,9,72,787089
Categoria_69,Turno_B,1,3,2,21,0,21,20,3,18,734839
Categoria_41,Turno_A,2,8,4,63,25,38,37,6,39,78148
Categoria_29,Turno_B,1,4,3,6,0,6,6,0,5,815889
Categoria_21,Turno_A,1,4,1,15,0,15,14,1,13,469773
Categoria_25,Turno_B,2,6,2,49,10,40,41,3,31,658531
Categoria_07,Turno_A,2,6,2,10,0,10,8,0,6,359457
Categoria_14,Turno_B,2,8,2,38,12,26,27,5,25,266508
Categoria_17,Turno_B,1,3,1,10,0,10,6,0,5,218261
Categoria_65,Turno_B,2,7,4,43,20,23,22,1,17,774469
Categoria_69,Turno_B,2,8,4,24,0,24,23,3,18,734839
Categoria_26,Turno_B,1,5,3,189,10,179,148,3,130,249629
Categoria_11,Turno_A,2,7,4,26,0,26,26,8,34,351097
Categoria_51,Turno_B,2,7,1,36,-1,37,37,16,41,325139
Categoria_52,Turno_B,1,4,1,64,9,55,36,1,27,582843
Categoria_52,Turno_A,1,5,3,189,42,147,77,3,71,582843
Categoria_08,Turno_A,1,5,2,42,0,42,40,2,38,708361
Categoria_08,Turno_A,2,6,1,76,40,36,35,16,47,708361
Categoria_08,Turno_A,1,4,4,77,12,65,63,8,63,708361
Categoria_08,Turno_B,2,8,4,41,6,35,33,2,32,708361
