Especialidad,Semana_Iso,Mes,Jornada_Horaria,Oferta_programada,Bloqueo,Oferta_disponible,Citas_Asignadas_Hoy,Citas_Proy_Final,Horizonte_Dias,Tasa_actual,Tasa_Proyectada,Cupos_Vendidos_Pred,Confianza_%
Categoria_25,12,3,Turno_B,19,0,19,19,19,28,1.0,1.0,17.0,91.4
Categoria_64,13,3,Turno_A,93,0,93,0,49,35,0.0,0.5292,51.0,93.1
Categoria_49,13,3,Turno_A,82,0,82,3,60,35,0.0365853658536585,0.7353170731707318,60.0,95.1
Categoria_17,11,3,Turno_B,4,0,4,0,2,21,0.0,0.3752,2.0,69.6
Categoria_58,10,3,Turno_A,21,0,21,21,21,14,1.0,1.0,20.0,86.2
Categoria_54,12,3,Turno_A,17,0,17,1,10,28,0.0588235294117647,0.5678470588235295,8.0,92.6
Categoria_54,11,3,Turno_A,19,0,19,3,11,21,0.1578947368421052,0.5975684210526316,9.0,95.7
Categoria_54,9,2,Turno_A,14,0,14,13,13,7,0.9285714285714286,0.9285714285714286,11.0,82.6
Categoria_54,11,3,Turno_B,21,11,10,4,7,21,0.4,0.6702,7.0,88.9
Categoria_41,11,3,Turno_A,51,0,51,14,41,21,0.2745098039215686,0.8133019607843137,36.0,90.0
Categoria_68,13,3,Turno_B,53,0,53,0,35,35,0.0,0.6592,34.0,97.4
Categoria_52,12,3,Turno_A,189,12,177,3,130,28,0.0169491525423728,0.7353898305084746,114.0,92.6
Categoria_14,11,3,Turno_A,28,0,28,28,28,21,1.0,1.0,26.0,78.9
Categoria_67,11,3,Turno_B,30,0,30,2,17,21,0.0666666666666666,0.5772,14.0,98.2
Categoria_49,11,3,Turno_A,81,0,81,15,62,21,0.1851851851851851,0.7650370370370372,57.0,88.6
Categoria_67,9,2,Turno_A,28,28,0,0,0,7,0.0,0.1857333333333333,0.0,0.0
Categoria_66,10,3,Turno_A,33,0,33,3,14,14,0.0909090909090909,0.4348848484848484,11.0,92.2
Categoria_26,13,3,Turno_B,132,0,132,14,93,35,0.106060606060606,0.7036121212121212,78.0,95.4
Categoria_48,13,3,Turno_B,58,0,58,45,49,35,0.7758620689655172,0.849458620689655,48.0,88.5
Categoria_68,12,3,Turno_B,72,0,72,0,47,28,0.0,0.6592,45.0,96.8
Categoria_44,12,3,Turno_A,35,0,35,6,26,28,0.1714285714285714,0.7470857142857144,23.0,96.4
Categoria_24,12,3,Turno_A,33,0,33,5,15,28,0.1515151515151515,0.4623030303030303,12.0,98.4
Categoria_24,12,3,Turno_B,10,0,10,2,5,28,0.2,0.4720000000000001,4.0,97.4
Categoria_24,9,2,Turno_A,21,0,21,8,9,7,0.3809523809523809,0.4445714285714285,8.0,91.3
Categoria_59,10,3,Turno_B,20,0,20,7,9,14,0.35,0.4668,7.0,98.3
Categoria_35,11,3,Turno_B,173,2,171,0,146,21,0.0,0.8523,127.0,96.6
Categoria_09,9,2,Turno_B,95,0,95,56,60,7,0.5894736842105263,0.6324842105263158,58.0,97.4
Categoria_08,13,3,Turno_A,66,0,66,17,52,35,0.2575757575757575,0.7907151515151516,52.0,75.5
Categoria_08,14,3,Turno_A,66,0,66,14,52,42,0.2121212121212121,0.7816242424242426,52.0,75.6
Categoria_68,10,3,Turno_B,64,44,20,0,13,14,0.0,0.6592,14.0,85.9
Categoria_26,9,2,Turno_A,186,41,145,88,102,7,0.6068965517241379,0.7053379310344827,99.0,97.3
Categoria_68,10,3,Turno_A,55,0,55,12,39,14,0.2181818181818181,0.7028363636363637,36.0,93.1
Categoria_26,11,3,Turno_B,142,11,131,32,96,21,0.2442748091603053,0.7312549618320611,79.0,94.4
Categoria_61,14,3,Turno_B,118,0,118,0,64,42,0.0,0.5453,61.0,90.6
Categoria_04,13,3,Turno_A,11,0,11,0,3,35,0.0,0.2401,3.0,80.1
Categoria_26,12,3,Turno_B,197,10,187,22,132,28,0.1176470588235294,0.7059294117647059,116.0,97.3
Categoria_26,12,3,Turno_A,170,7,163,27,117,28,0.1656441717791411,0.7155288343558283,106.0,97.0
Categoria_68,13,3,Turno_A,67,0,67,0,44,35,0.0,0.6592,42.0,91.0
Categoria_09,12,3,Turno_A,120,0,120,10,69,28,0.0833333333333333,0.5742666666666667,68.0,85.1
Categoria_26,13,3,Turno_A,166,0,166,9,115,35,0.0542168674698795,0.6932433734939759,111.0,92.5
Categoria_68,11,3,Turno_A,53,0,53,1,35,21,0.0188679245283018,0.6629735849056604,34.0,95.4
Categoria_53,10,3,Turno_A,30,0,30,30,30,14,1.0,1.0,28.0,95.3
Categoria_38,10,3,Turno_A,6,0,6,6,6,14,1.0,1.0,6.0,94.2
Categoria_06,11,3,Turno_B,35,0,35,28,28,21,0.8,0.8,26.0,93.7
Categoria_37,10,3,Turno_B,18,0,18,18,18,14,1.0,1.0,17.0,96.8
Categoria_52,12,3,Turno_B,39,0,39,2,29,28,0.0512820512820512,0.7422564102564103,25.0,88.1
Categoria_48,10,3,Turno_A,51,0,51,51,51,14,1.0,1.0,48.0,98.1
Categoria_26,10,3,Turno_A,195,25,170,65,129,14,0.3823529411764705,0.7588705882352942,115.0,97.8
Categoria_20,10,3,Turno_B,26,0,26,26,26,14,1.0,1.0,24.0,94.9
Categoria_60,11,3,Turno_A,20,20,0,0,0,21,0.0,0.4697,0.0,0.0
Categoria_19,12,3,Turno_A,4,0,4,0,1,28,0.0,0.1770999999999999,1.0,74.2
Categoria_35,9,2,Turno_A,136,50,86,13,75,7,0.1511627906976744,0.8674162790697674,66.0,91.5
Categoria_35,13,3,Turno_A,206,2,204,1,174,35,0.0049019607843137,0.8527901960784313,153.0,92.9
Categoria_35,10,3,Turno_A,236,0,236,0,201,14,0.0,0.8523,171.0,92.5
Categoria_35,14,3,Turno_B,193,32,161,0,137,42,0.0,0.8523,120.0,94.1
Categoria_59,9,2,Turno_A,26,0,26,6,9,7,0.2307692307692307,0.3368615384615385,7.0,94.9
Categoria_49,9,2,Turno_B,61,0,61,61,61,7,1.0,1.0,58.0,97.6
Categoria_26,9,2,Turno_B,187,22,165,82,105,7,0.4969696969696969,0.6393818181818182,105.0,91.7
Categoria_52,9,2,Turno_A,189,16,173,31,82,7,0.1791907514450867,0.4735144508670521,105.0,84.0
Categoria_41,13,3,Turno_A,46,0,46,4,36,35,0.0869565217391304,0.7757913043478261,29.0,94.6
Categoria_52,11,3,Turno_A,139,0,139,7,103,21,0.0503597122302158,0.7420719424460432,83.0,97.9
Categoria_08,10,3,Turno_A,40,0,40,40,40,14,1.0,1.0,41.0,90.1
Categoria_61,12,3,Turno_B,66,0,66,0,36,28,0.0,0.5453,35.0,95.1
Categoria_09,11,3,Turno_A,44,0,44,20,29,21,0.4545454545454545,0.6485090909090909,27.0,91.9
Categoria_12,12,3,Turno_A,84,0,84,0,43,28,0.0,0.5168,47.0,90.0
Categoria_69,10,3,Turno_B,24,0,24,9,12,14,0.375,0.5070666666666667,13.0,81.8
Categoria_49,10,3,Turno_A,65,0,65,31,54,14,0.4769230769230769,0.8233846153846155,51.0,97.3
Categoria_11,13,3,Turno_B,34,0,34,10,23,35,0.2941176470588235,0.674135294117647,23.0,88.6
Categoria_68,11,3,Turno_B,79,0,79,7,53,21,0.0886075949367088,0.6769215189873418,55.0,86.6
Categoria_47,10,3,Turno_A,23,1,22,19,19,14,0.8636363636363636,0.8636363636363636,17.0,93.5
Categoria_62,11,3,Turno_A,46,0,46,0,26,21,0.0,0.5558,21.0,84.1
Categoria_66,11,3,Turno_A,16,0,16,0,9,21,0.0,0.5795999999999999,9.0,87.0
Categoria_09,12,3,Turno_B,95,0,95,20,57,28,0.2105263157894736,0.5997052631578947,58.0,95.7
Categoria_64,10,3,Turno_A,44,0,44,8,20,14,0.1818181818181818,0.4497696969696969,18.0,82.9
Categoria_68,9,2,Turno_A,76,37,39,22,26,7,0.5641025641025641,0.6680615384615385,22.0,95.1
Categoria_49,11,3,Turno_A,81,0,81,11,61,21,0.1358024691358024,0.7551604938271606,64.0,98.2
Categoria_61,13,3,Turno_B,118,0,118,2,65,35,0.0169491525423728,0.5503847457627119,61.0,88.4
Categoria_68,11,3,Turno_B,58,0,58,1,38,21,0.0172413793103448,0.662648275862069,36.0,98.0
Categoria_48,9,2,Turno_A,65,0,65,65,65,7,1.0,1.0,61.0,95.4
Categoria_64,13,3,Turno_B,34,0,34,0,18,35,0.0,0.5292,16.0,92.9
Categoria_26,10,3,Turno_C,7,0,7,0,5,14,0.0,0.6824,4.0,76.8
Categoria_44,11,3,Turno_B,27,12,15,5,12,21,0.3333333333333333,0.7794666666666668,13.0,92.8
Categoria_51,10,3,Turno_B,40,0,40,40,40,14,1.0,1.0,39.0,91.4
Categoria_35,12,3,Turno_A,205,2,203,1,173,28,0.0049261083743842,0.8527926108374384,153.0,91.5
Categoria_24,13,3,Turno_B,10,0,10,1,5,35,0.1,0.452,4.0,94.6
Categoria_44,10,3,Turno_A,44,15,29,28,28,14,0.9655172413793104,0.9655172413793104,26.0,93.4
Categoria_48,12,3,Turno_A,20,0,20,20,20,28,1.0,1.0,20.0,96.6
Categoria_59,13,3,Turno_B,26,0,26,1,11,35,0.0384615384615384,0.4044923076923077,8.0,94.8
Categoria_35,9,2,Turno_A,233,46,187,14,161,7,0.0748663101604278,0.8597866310160427,145.0,94.6
Categoria_35,14,3,Turno_A,190,2,188,0,160,42,0.0,0.8523,140.0,94.9
Categoria_35,13,3,Turno_B,115,12,103,0,88,35,0.0,0.8523,79.0,96.0
Categoria_09,9,2,Turno_A,120,27,93,42,51,7,0.4516129032258064,0.5497677419354838,56.0,82.2
Categoria_25,11,3,Turno_B,34,0,34,34,34,21,1.0,1.0,30.0,94.4
Categoria_52,13,3,Turno_A,60,0,60,0,44,35,0.0,0.7320000000000001,39.0,89.5
Categoria_36,11,3,Turno_A,50,0,50,0,30,21,0.0,0.6062,28.0,94.3
Categoria_09,13,3,Turno_B,56,0,56,4,32,35,0.0714285714285714,0.5718857142857142,31.0,85.4
Categoria_21,14,3,Turno_A,15,0,15,15,15,42,1.0,1.0,12.0,96.6
Categoria_33,12,3,Turno_A,9,0,9,0,1,28,0.0,0.1176,1.0,72.7
Categoria_68,11,3,Turno_A,54,0,54,0,36,21,0.0,0.6592,34.0,97.3
Categoria_68,12,3,Turno_A,54,0,54,0,36,28,0.0,0.6592,34.0,97.7
Categoria_12,14,3,Turno_B,36,0,36,0,19,42,0.0,0.5168,17.0,79.4
Categoria_18,12,3,Turno_A,8,0,8,0,0,28,0.0,0.0432,0.0,80.5
Categoria_41,10,3,Turno_C,5,0,5,5,5,14,1.0,1.0,5.0,94.0
Categoria_56,11,3,Turno_B,9,0,9,9,9,21,1.0,1.0,7.0,85.1
Categoria_41,10,3,Turno_A,45,0,45,41,42,14,0.9111111111111112,0.9406222222222222,42.0,89.9
Categoria_54,10,3,Turno_A,8,0,8,0,3,14,0.0,0.3667999999999999,3.0,78.9
Categoria_41,9,2,Turno_A,73,20,53,52,52,7,0.981132075471698,0.981132075471698,49.0,97.5
Categoria_14,10,3,Turno_C,8,0,8,8,8,14,1.0,1.0,10.0,91.5
Categoria_36,10,3,Turno_B,18,0,18,1,8,14,0.0555555555555555,0.4337629629629628,8.0,76.5
Categoria_08,14,3,Turno_B,27,0,27,1,20,42,0.037037037037037,0.7466074074074075,21.0,73.9
Categoria_12,12,3,Turno_B,43,0,43,0,22,28,0.0,0.5168,20.0,78.4
Categoria_60,11,3,Turno_A,65,0,65,0,31,21,0.0,0.4697,28.0,77.7
Categoria_52,11,3,Turno_A,185,0,185,7,137,21,0.0378378378378378,0.7395675675675677,121.0,97.7
Categoria_63,13,3,Turno_B,43,0,43,1,26,35,0.0232558139534883,0.6152767441860465,26.0,73.2
Categoria_64,12,3,Turno_A,58,0,58,0,31,28,0.0,0.5292,32.0,87.5
Categoria_51,11,3,Turno_B,50,0,50,4,31,21,0.08,0.6183,32.0,91.4
Categoria_34,13,3,Turno_B,41,0,41,0,23,35,0.0,0.5551,18.0,91.6
Categoria_45,13,3,Turno_B,30,0,30,0,17,35,0.0,0.5712,14.0,95.4
Categoria_45,10,3,Turno_A,12,0,12,11,11,14,0.9166666666666666,0.9166666666666666,10.0,88.2
Categoria_44,11,3,Turno_A,62,15,47,15,37,21,0.3191489361702128,0.7766297872340426,37.0,97.8
Categoria_20,11,3,Turno_A,20,20,0,0,0,21,0.0,0.6181,0.0,0.0
Categoria_24,9,2,Turno_B,10,10,0,0,0,7,0.0,0.216,0.0,0.0
Categoria_33,10,3,Turno_A,1,0,1,0,0,14,0.0,0.1176,0.0,86.9
Categoria_41,13,3,Turno_B,48,0,48,0,36,35,0.0,0.7584,34.0,89.7
Categoria_25,10,3,Turno_B,58,15,43,43,43,14,1.0,1.0,45.0,98.3
Categoria_65,11,3,Turno_A,85,0,85,1,52,21,0.0117647058823529,0.6062294117647058,54.0,93.4
Categoria_36,10,3,Turno_A,31,14,17,2,8,14,0.1176470588235294,0.4668784313725489,8.0,98.2
Categoria_09,11,3,Turno_A,71,0,71,28,45,21,0.3943661971830985,0.6364732394366197,46.0,97.9
Categoria_41,12,3,Turno_B,49,0,49,4,38,28,0.0816326530612244,0.7747265306122448,35.0,91.5
Categoria_25,13,3,Turno_B,12,0,12,12,12,35,1.0,1.0,10.0,83.2
Categoria_04,14,3,Turno_A,11,0,11,0,3,42,0.0,0.2401,3.0,80.4
Categoria_10,11,3,Turno_A,6,0,6,1,3,21,0.1666666666666666,0.4301,3.0,92.9
Categoria_26,11,3,Turno_A,258,75,183,30,131,21,0.1639344262295081,0.7151868852459017,132.0,82.5
Categoria_11,13,3,Turno_A,6,0,6,4,5,35,0.6666666666666666,0.7859,6.0,42.9
Categoria_44,13,3,Turno_A,35,0,35,2,25,35,0.0571428571428571,0.7242285714285716,23.0,96.6
Categoria_52,11,3,Turno_B,103,0,103,5,76,21,0.0485436893203883,0.7417087378640778,69.0,89.0
Categoria_09,10,3,Turno_B,92,17,75,29,48,14,0.3866666666666666,0.6349333333333333,47.0,98.3
Categoria_35,13,3,Turno_A,211,2,209,0,178,35,0.0,0.8523,158.0,98.0
Categoria_35,11,3,Turno_A,246,2,244,3,208,21,0.0122950819672131,0.8535295081967212,174.0,97.5
Categoria_40,14,3,Turno_B,17,0,17,0,8,42,0.0,0.4514999999999999,7.0,90.4
Categoria_64,14,3,Turno_A,93,11,82,0,43,42,0.0,0.5292,43.0,96.0
Categoria_12,11,3,Turno_B,37,0,37,7,21,21,0.1891891891891892,0.5546378378378378,19.0,90.7
Categoria_40,10,3,Turno_A,12,0,12,0,4,14,0.0,0.3009999999999999,4.0,90.6
Categoria_51,10,3,Turno_C,4,0,4,4,4,14,1.0,1.0,4.0,78.3
Categoria_66,11,3,Turno_A,80,0,80,5,48,21,0.0625,0.5983499999999999,53.0,96.4
Categoria_45,10,3,Turno_B,13,0,13,7,9,14,0.5384615384615384,0.6788923076923077,6.0,90.4
Categoria_45,10,3,Turno_B,8,0,8,5,6,14,0.625,0.6962,5.0,83.9
Categoria_44,9,2,Turno_B,25,0,25,23,23,7,0.92,0.92,21.0,96.1
Categoria_26,11,3,Turno_B,116,0,116,40,87,21,0.3448275862068966,0.7513655172413793,73.0,97.0
Categoria_59,11,3,Turno_B,26,0,26,8,12,21,0.3076923076923077,0.4583384615384616,9.0,88.7
Categoria_35,13,3,Turno_B,217,32,185,0,158,35,0.0,0.8523,141.0,97.5
Categoria_48,14,3,Turno_A,49,0,49,39,42,42,0.7959183673469388,0.8554755102040816,41.0,95.1
Categoria_52,10,3,Turno_B,82,12,70,20,55,14,0.2857142857142857,0.7891428571428573,50.0,90.1
Categoria_Desconocida,10,3,Turno_B,21,0,21,6,15,14,0.2857142857142857,0.6971428571428573,14.0,93.6
Categoria_15,9,2,Turno_B,10,10,0,0,0,7,0.0,0.1453666666666666,0.0,0.0
Categoria_05,10,3,Turno_A,25,0,25,25,25,14,1.0,1.0,23.0,95.0
Categoria_08,11,3,Turno_A,58,18,40,16,33,21,0.4,0.8192000000000002,42.0,90.8
Categoria_09,11,3,Turno_B,115,12,103,31,64,21,0.3009708737864077,0.6177941747572815,60.0,95.8
Categoria_25,11,3,Turno_B,21,0,21,21,21,21,1.0,1.0,18.0,95.8
Categoria_61,14,3,Turno_A,17,0,17,0,9,42,0.0,0.5453,9.0,86.5
Categoria_08,10,3,Turno_B,20,0,20,20,20,14,1.0,1.0,20.0,87.1
Categoria_61,9,2,Turno_B,106,40,66,17,25,7,0.2575757575757575,0.3792414141414141,40.0,84.1
Categoria_24,10,3,Turno_A,11,0,11,5,6,14,0.4545454545454545,0.522909090909091,4.0,78.1
Categoria_40,13,3,Turno_A,39,0,39,0,18,35,0.0,0.4514999999999999,17.0,75.3
Categoria_41,13,3,Turno_A,58,0,58,1,44,35,0.0172413793103448,0.7618482758620689,41.0,97.2
Categoria_65,11,3,Turno_B,41,0,41,3,26,21,0.073170731707317,0.624651219512195,25.0,86.7
Categoria_09,11,3,Turno_B,101,0,101,42,65,21,0.4158415841584158,0.6407683168316831,65.0,96.5
