Especialidad,Pred_S1,Pred_S2,Pred_S3,Pred_S4,Pred_S5,Pred_S6,Pred_S7,Pred_S8,Pred_S9,Pred_S10,Pred_S11,Pred_S12,Pred_S13,Pred_S14,Real_S1,Real_S2,Real_S3,Real_S4,Real_S5,Real_S6,Real_S7,Real_S8,Real_S9,Real_S10,Real_S11,Real_S12,Real_S13,Real_S14,Total_Real,Total_Pred,Error_%
Categoria_35,182.0,1307.0,1272.0,1249.0,1249.0,860.0,985.0,1134.0,1196.0,1340.0,1500.0,1502.0,1497.0,543.0,175.0,1259.0,1197.0,1208.0,1193.0,846.0,956.0,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,7878.0,15816.0,100.8
Categoria_26,271.0,1252.0,1150.0,1194.0,1159.0,1066.0,986.0,1143.0,886.0,995.0,980.0,1012.0,1024.0,432.0,288.0,1308.0,1195.0,1250.0,1195.0,1086.0,1012.0,1111.0,0.0,0.0,0.0,0.0,0.0,0.0,8445.0,13550.0,60.4
Categoria_52,156.0,712.0,640.0,665.0,702.0,581.0,562.0,687.0,608.0,764.0,750.0,730.0,735.0,293.0,145.0,643.0,513.0,537.0,615.0,489.0,466.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,3971.0,8585.0,116.2
Categoria_09,74.0,601.0,606.0,506.0,448.0,599.0,465.0,377.0,425.0,336.0,538.0,513.0,515.0,193.0,66.0,613.0,667.0,531.0,445.0,617.0,531.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,3875.0,6196.0,59.9
Categoria_49,28.0,473.0,491.0,504.0,501.0,355.0,423.0,442.0,440.0,459.0,411.0,393.0,386.0,153.0,20.0,494.0,499.0,504.0,496.0,332.0,402.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.0,5459.0,71.7
Categoria_68,84.0,447.0,498.0,510.0,353.0,343.0,341.0,328.0,370.0,416.0,445.0,454.0,454.0,162.0,87.0,443.0,489.0,499.0,344.0,303.0,327.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,2789.0,5205.0,86.6
Categoria_41,88.0,465.0,546.0,494.0,417.0,267.0,118.0,380.0,416.0,469.0,415.0,408.0,408.0,142.0,77.0,433.0,519.0,484.0,405.0,238.0,103.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,2606.0,5033.0,93.1
Categoria_65,51.0,425.0,417.0,416.0,415.0,441.0,389.0,349.0,264.0,251.0,297.0,330.0,328.0,142.0,50.0,450.0,416.0,420.0,419.0,441.0,404.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,2948.0,4515.0,53.2
Categoria_12,56.0,342.0,339.0,374.0,371.0,259.0,262.0,251.0,216.0,338.0,382.0,365.0,367.0,153.0,52.0,335.0,323.0,349.0,366.0,236.0,257.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,2153.0,4075.0,89.3
Categoria_08,13.0,303.0,320.0,307.0,285.0,252.0,120.0,243.0,251.0,319.0,296.0,289.0,280.0,130.0,14.0,315.0,289.0,295.0,246.0,275.0,125.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.0,3408.0,86.3
Categoria_48,29.0,252.0,277.0,331.0,203.0,99.0,196.0,255.0,324.0,326.0,328.0,301.0,280.0,115.0,31.0,271.0,306.0,340.0,189.0,80.0,194.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,1631.0,3316.0,103.3
