Especialidad,Semana_Iso,Oferta_disponible,Citas_Asignadas_Hoy,Citas_Proy_Final,Cupos_Vendidos_Pred,Confianza_%
Categoria_01,9,10,10,10,9.0,97.6
Categoria_01,10,10,10,10,9.0,96.6
Categoria_01,11,10,10,10,9.0,94.8
Categoria_01,12,10,10,10,9.0,94.7
Categoria_01,13,10,10,10,9.0,94.6
Categoria_02,9,15,15,15,15.0,98.6
Categoria_02,10,15,15,15,16.0,95.2
Categoria_02,11,15,14,14,14.0,97.2
Categoria_02,12,15,6,11,11.0,84.2
Categoria_02,13,15,2,9,9.0,86.5
Categoria_03,9,16,0,0,0.0,62.7
Categoria_03,10,16,0,3,2.0,82.9
Categoria_03,11,16,1,4,3.0,83.8
Categoria_03,12,16,0,3,3.0,79.1
Categoria_03,13,16,0,3,3.0,89.8
Categoria_03,14,11,0,2,2.0,89.6
Categoria_04,9,50,0,3,3.0,75.8
Categoria_04,10,50,0,8,8.0,87.3
Categoria_04,11,50,0,12,12.0,89.4
Categoria_04,12,50,0,12,12.0,89.6
Categoria_04,13,50,0,12,12.0,88.4
Categoria_04,14,30,0,8,8.0,86.1
Categoria_05,9,64,64,64,61.0,51.2
Categoria_05,10,85,72,74,69.0,90.7
Categoria_05,11,85,20,45,42.0,89.2
Categoria_05,12,85,3,39,36.0,89.6
Categoria_05,13,85,3,39,36.0,89.6
Categoria_05,14,37,0,17,15.0,95.7
Categoria_06,9,35,35,35,30.0,64.0
Categoria_06,10,67,67,67,62.0,94.5
Categoria_06,11,67,60,60,55.0,93.0
Categoria_06,12,67,44,51,46.0,94.3
Categoria_06,13,67,13,41,36.0,95.3
Categoria_06,14,20,2,12,10.0,94.6
Categoria_07,9,18,18,18,16.0,30.7
Categoria_07,10,38,18,21,16.0,57.2
Categoria_07,11,54,4,21,18.0,79.0
Categoria_07,12,50,4,20,19.0,81.7
Categoria_07,13,54,0,20,18.0,77.9
Categoria_07,14,23,0,9,9.0,91.6
Categoria_08,9,235,234,234,251.0,82.0
Categoria_08,10,300,299,298,319.0,92.6
Categoria_08,11,310,200,271,296.0,82.3
Categoria_08,12,332,111,267,289.0,69.6
Categoria_08,13,332,81,262,280.0,68.0
Categoria_08,14,155,15,118,130.0,76.0
Categoria_09,9,606,421,438,425.0,86.7
Categoria_09,10,469,223,310,336.0,90.4
Categoria_09,11,878,260,542,538.0,92.5
Categoria_09,12,870,148,514,513.0,91.2
Categoria_09,13,870,95,505,515.0,92.2
Categoria_09,14,325,10,183,193.0,95.9
Categoria_10,9,20,16,16,17.0,70.6
Categoria_10,10,24,11,15,16.0,94.6
Categoria_10,11,24,5,12,13.0,86.6
Categoria_10,12,24,2,9,9.0,88.1
Categoria_10,13,24,0,9,9.0,87.8
Categoria_10,14,12,0,5,5.0,79.2
Categoria_11,9,40,40,40,49.0,94.5
Categoria_11,10,54,52,52,56.0,79.0
Categoria_11,11,54,26,40,41.0,77.8
Categoria_11,12,54,18,38,38.0,71.3
Categoria_11,13,54,14,36,36.0,67.6
Categoria_11,14,14,2,9,9.0,83.9
Categoria_12,9,397,173,209,216.0,64.2
Categoria_12,10,588,195,341,338.0,90.4
Categoria_12,11,705,108,386,382.0,89.2
Categoria_12,12,705,11,365,365.0,88.1
Categoria_12,13,705,7,365,367.0,87.7
Categoria_12,14,294,1,152,153.0,90.4
Categoria_14,9,165,153,155,159.0,80.3
Categoria_14,10,172,160,162,162.0,75.2
Categoria_14,11,188,177,180,178.0,78.1
Categoria_14,12,188,176,180,178.0,78.8
Categoria_14,13,162,150,154,154.0,69.8
Categoria_14,14,88,80,84,84.0,66.5
Categoria_15,9,0,0,0,0.0,0.0
Categoria_15,10,28,13,16,14.0,64.0
Categoria_15,11,40,3,18,16.0,90.3
Categoria_15,12,40,0,17,15.0,91.5
Categoria_15,13,40,0,17,15.0,91.4
Categoria_15,14,12,0,5,4.0,92.3
Categoria_16,9,34,10,12,11.0,63.1
Categoria_16,10,40,5,14,14.0,93.8
Categoria_16,11,40,1,15,14.0,93.5
Categoria_16,12,40,0,15,14.0,92.9
Categoria_16,13,40,0,15,14.0,93.2
Categoria_16,14,26,0,10,9.0,91.8
Categoria_17,9,25,13,14,12.0,61.7
Categoria_17,10,33,8,13,13.0,90.3
Categoria_17,11,33,1,13,13.0,78.1
Categoria_17,12,33,1,13,13.0,78.4
Categoria_17,13,33,1,13,13.0,78.3
Categoria_17,14,13,0,5,5.0,90.9
Categoria_18,9,8,0,0,0.0,97.4
Categoria_18,10,8,0,0,0.0,80.4
Categoria_18,11,8,0,0,0.0,80.5
Categoria_18,12,8,0,0,0.0,80.5
Categoria_18,13,8,0,0,0.0,80.2
