Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_25,Turno_B,3,12,3,19,0,19,19,0,0,988732
Categoria_64,Turno_A,3,13,2,93,0,93,0,0,0,386896
Categoria_49,Turno_A,3,13,5,82,0,82,3,0,0,58984
Categoria_17,Turno_B,3,11,5,4,0,4,0,0,0,312918
Categoria_58,Turno_A,3,10,4,21,0,21,21,0,0,274712
Categoria_54,Turno_A,3,12,4,17,0,17,1,0,0,130151
Categoria_54,Turno_A,3,11,3,19,0,19,3,0,0,130151
Categoria_54,Turno_A,2,9,1,14,0,14,13,0,0,130151
Categoria_54,Turno_B,3,11,3,21,11,10,4,0,0,130151
Categoria_41,Turno_A,3,11,4,51,0,51,14,0,0,465808
Categoria_68,Turno_B,3,13,5,53,0,53,0,0,0,995067
Categoria_52,Turno_A,3,12,3,189,12,177,3,0,0,143767
Categoria_14,Turno_A,3,11,4,28,0,28,28,0,0,658663
Categoria_67,Turno_B,3,11,2,30,0,30,2,0,0,713550
Categoria_49,Turno_A,3,11,1,81,0,81,15,0,0,58984
Categoria_67,Turno_A,2,9,5,28,28,0,0,0,0,713550
Categoria_66,Turno_A,3,10,4,33,0,33,3,0,0,146330
Categoria_26,Turno_B,3,13,5,132,0,132,14,0,0,490754
Categoria_48,Turno_B,3,13,2,58,0,58,45,0,0,311648
Categoria_68,Turno_B,3,12,3,72,0,72,0,0,0,995067
Categoria_44,Turno_A,3,12,4,35,0,35,6,0,0,698519
Categoria_24,Turno_A,3,12,4,33,0,33,5,0,0,23986
Categoria_24,Turno_B,3,12,1,10,0,10,2,0,0,23986
Categoria_24,Turno_A,2,9,4,21,0,21,8,0,0,23986
Categoria_59,Turno_B,3,10,2,20,0,20,7,0,0,596146
Categoria_35,Turno_B,3,11,2,173,2,171,0,0,0,139312
Categoria_09,Turno_B,2,9,3,95,0,95,56,0,0,22666
Categoria_08,Turno_A,3,13,1,66,0,66,17,0,0,310804
Categoria_08,Turno_A,3,14,1,66,0,66,14,0,0,310804
Categoria_68,Turno_B,3,10,2,64,44,20,0,0,0,995067
Categoria_26,Turno_A,2,9,3,186,41,145,88,0,0,490754
Categoria_68,Turno_A,3,10,2,55,0,55,12,0,0,995067
Categoria_26,Turno_B,3,11,1,142,11,131,32,0,0,490754
Categoria_61,Turno_B,3,14,2,118,0,118,0,0,0,144633
Categoria_04,Turno_A,3,13,1,11,0,11,0,0,0,298998
Categoria_26,Turno_B,3,12,3,197,10,187,22,0,0,490754
Categoria_26,Turno_A,3,12,3,170,7,163,27,0,0,490754
Categoria_68,Turno_A,3,13,6,67,0,67,0,0,0,995067
Categoria_09,Turno_A,3,12,3,120,0,120,10,0,0,22666
Categoria_26,Turno_A,3,13,5,166,0,166,9,0,0,490754
Categoria_68,Turno_A,3,11,1,53,0,53,1,0,0,995067
